Practice,Outcome,Product,Is.Combo,Observations,Studies,Value,Sig,Value.se,CIlow,CIhigh,Source
Inorganic Fertilizer,Crop Yield,Sorghum,FALSE,497,30,0.435,0,0.05,0.33738,0.5331,Easy
Inorganic Fertilizer,Crop Yield,Cotton,FALSE,91,5,0.297,0.058,0.123,0.05605,0.53813,Easy
Inorganic Fertilizer,Crop Yield,Groundnut,FALSE,223,25,0.187,0,0.038,0.11303,0.26101,Easy
Inorganic Fertilizer,Crop Yield,Pearl Millet,FALSE,962,43,0.387,0,0.06,0.26869,0.50536,Easy
Inorganic Fertilizer,Crop Yield,Maize,FALSE,5323,262,0.583,0,0.027,0.53049,0.63521,Easy
Crop Residue,Crop Yield,Pearl Millet,FALSE,101,4,0.227,0.075,0.109,0.01322,0.44063,Easy
Inorganic Fertilizer,Crop Yield,Wheat,FALSE,151,19,0.325,0.036,0.145,0.04165,0.60905,Easy
Crop Residue Incorporation,Crop Yield,Wheat,FALSE,17,4,0.17,0.242,0.117,-0.05882,0.3979,Easy
Reduced Tillage,Crop Yield,Wheat,FALSE,108,10,-0.017,0.787,0.058,-0.13118,0.09811,Easy
Mulch (Herb),Crop Yield,Wheat,FALSE,31,5,0.116,0.053,0.043,0.03267,0.1996,Easy
Organic Fertilizer,Crop Yield,Pearl Millet,FALSE,246,22,0.574,0.006,0.184,0.21238,0.93464,Easy
Mulch (Herb),Crop Yield,Pearl Millet,FALSE,142,9,0.456,0.041,0.177,0.10949,0.80206,Easy
Water Harvesting,Crop Yield,Pearl Millet,FALSE,50,4,0.355,0.351,0.102,0.15502,0.55532,Easy
Organic Fertilizer,Crop Yield,Groundnut,FALSE,69,9,0.297,0.027,0.113,0.0755,0.51936,Easy
Reduced Tillage,Crop Yield,Pearl Millet,FALSE,20,6,-0.232,0.004,0.072,-0.38137,-0.08188,Easy
Organic Fertilizer,Water Use Efficiency,Pearl Millet,FALSE,36,5,0.658,0,0.077,0.50198,0.81453,Easy
Inorganic Fertilizer,Water Use Efficiency,Maize,FALSE,822,27,0.497,0,0.06,0.37952,0.61492,Easy
Inorganic Fertilizer,Water Use Efficiency,Pearl Millet,FALSE,112,7,0.503,0.078,0.187,0.1364,0.86929,Easy
Inorganic Fertilizer,Crop Yield,Cowpea,FALSE,439,31,0.282,0,0.068,0.14919,0.41471,Easy
Mulch (Tree),Crop Yield,Pearl Millet,FALSE,21,5,0.509,0.016,0.057,0.39844,0.62052,Easy
Improved Varieties,Crop Yield,Maize,FALSE,280,13,0.238,0.01,0.084,0.07302,0.40348,Easy
Improved Varieties,Crop Yield,Wheat,FALSE,142,4,0.054,0.268,0.041,-0.02709,0.13446,Easy
Organic Fertilizer,Crop Yield,Tomato,FALSE,23,5,0.829,0.029,0.248,0.34289,1.31413,Easy
Water Harvesting,Crop Yield,Sorghum,FALSE,172,18,0.189,0.032,0.081,0.03129,0.34723,Easy
Mulch (Herb),Crop Yield,Sorghum,FALSE,62,10,0.138,0.027,0.054,0.03342,0.24345,Easy
Water Harvesting,Water Use Efficiency,Sorghum,FALSE,71,4,0.27,0.063,0.093,0.08882,0.45195,Easy
Alleycropping,Crop Yield,Cassava,FALSE,28,5,-0.016,0.941,0.201,-0.41037,0.37932,Easy
Mulch (Tree),Crop Yield,Maize,FALSE,675,46,0.508,0,0.088,0.33506,0.68024,Easy
Improved Varieties,Crop Yield,Cowpea,FALSE,533,10,-0.001,0.994,0.15,-0.29584,0.29356,Easy
Mulch (Herb),Crop Yield,Tomato,FALSE,22,5,0.301,0.035,0.083,0.13865,0.46284,Easy
Mulch (Herb),Crop Yield,Cassava,FALSE,33,5,0.064,0.54,0.092,-0.11661,0.24532,Easy
Crop Residue Incorporation,Crop Yield,Cassava,FALSE,14,6,0.079,0.005,0.024,0.02865,0.13031,Easy
Reduced Tillage,Crop Yield,Cassava,FALSE,16,5,-0.086,0.267,0.075,-0.23344,0.06057,Easy
Mulch (Herb),Crop Yield,Cowpea,FALSE,104,8,0.285,0.004,0.069,0.14851,0.42066,Easy
Organic Fertilizer,Crop Yield,Rice,FALSE,24,6,0.388,0.085,0.189,0.01678,0.7588,Easy
Inorganic Fertilizer,Crop Yield,Pigeon Pea,FALSE,99,5,0.116,0.185,0.078,-0.03665,0.26781,Easy
Inorganic Fertilizer,Crop Yield,Rice,FALSE,1098,49,0.436,0,0.033,0.37126,0.50141,Easy
Inorganic Fertilizer,Crop Yield,Sugar Cane,FALSE,79,4,0.351,0.073,0.145,0.06665,0.63483,Easy
Reduced Tillage,Crop Yield,Cowpea,FALSE,125,16,0.053,0.488,0.073,-0.08975,0.19622,Easy
Mulch (Herb),Crop Yield,Maize,FALSE,698,59,0.254,0,0.04,0.1762,0.33167,Easy
Reduced Tillage,Crop Yield,Maize,FALSE,870,79,0.013,0.657,0.03,-0.04481,0.07118,Easy
Mulch (Herb),Crop Yield,Sugar Cane,FALSE,105,7,0.18,0.161,0.118,-0.05128,0.41194,Easy
Reduced Tillage,Water Use Efficiency,Maize,FALSE,270,19,0.069,0.362,0.073,-0.07474,0.21235,Easy
Inorganic Fertilizer,Crop Yield,Soybean,FALSE,245,26,0.332,0,0.05,0.23349,0.43113,Easy
Inorganic Fertilizer,Crop Yield,Chickpea,FALSE,39,5,0.22,0,0.03,0.16101,0.27915,Easy
Organic Fertilizer,Crop Yield,Maize,FALSE,726,74,0.609,0,0.045,0.52011,0.69785,Easy
Crop Residue Incorporation,Crop Yield,Maize,FALSE,342,32,0.223,0.001,0.062,0.10043,0.34478,Easy
pH Control,Crop Yield,Maize,FALSE,110,13,0.19,0.021,0.078,0.03802,0.34273,Easy
Alleycropping,Crop Yield,Maize,FALSE,197,18,-0.076,0.315,0.074,-0.2211,0.06876,Easy
Inorganic Fertilizer,Crop Yield,Teff,FALSE,88,6,0.53,0.001,0.079,0.37535,0.68438,Easy
Reduced Tillage,Crop Yield,Teff,FALSE,12,4,-0.03,0.659,0.064,-0.15517,0.09472,Easy
Crop Residue Incorporation,Crop Yield,Sorghum,FALSE,32,5,0.079,0.382,0.064,-0.04644,0.20465,Easy
Organic Fertilizer,Crop Yield,Common Bean,FALSE,109,12,0.582,0.001,0.131,0.32561,0.839,Easy
Mulch (Herb),Crop Yield,Common Bean,FALSE,12,4,0.168,0,0.032,0.09738,0.23878,Easy
Inorganic Fertilizer,Crop Yield,Common Bean,FALSE,520,28,0.308,0.001,0.083,0.14661,0.47024,Easy
Inorganic Fertilizer,Crop Yield,Cabbage,FALSE,5,4,1.01,,0.386,,,Easy
Organic Fertilizer,Crop Yield,Cabbage,FALSE,7,4,1.116,0.035,0.41,0.11298,2.1191,Easy
Inorganic Fertilizer,Crop Yield,Cassava,FALSE,419,25,0.304,0,0.045,0.21567,0.39316,Easy
Water Harvesting,Crop Yield,Maize,FALSE,389,41,0.204,0,0.053,0.10074,0.30715,Easy
Water Harvesting,Water Use Efficiency,Maize,FALSE,106,11,0.157,0.301,0.143,-0.12292,0.43768,Easy
Inorganic Fertilizer,Gross Return,Maize,FALSE,92,17,0.599,0,0.131,0.3415,0.85579,Easy
Improved Varieties,Crop Yield,Cassava,FALSE,350,10,0.146,0.083,0.076,-0.00344,0.29615,Easy
Inorganic Fertilizer,Crop Yield,Okra,FALSE,29,4,0.531,0.007,0.104,0.32596,0.73541,Easy
Mulch (Herb),Water Use Efficiency,Maize,FALSE,231,12,0.212,0.024,0.081,0.05409,0.37057,Easy
Mulch (Herb),Gross Return,Maize,FALSE,27,5,0.306,0.031,0.104,0.10189,0.51033,Easy
Crop Residue Incorporation,Crop Yield,Rice,FALSE,52,4,0.331,0.2,0.202,-0.06505,0.72621,Easy
Inorganic Fertilizer,Crop Yield,Yam,FALSE,40,7,0.284,0.009,0.087,0.11288,0.45438,Easy
Reduced Tillage,Crop Yield,Soybean,FALSE,64,11,0.001,0.991,0.095,-0.18525,0.18755,Easy
Mulch (Herb),Crop Yield,Rice,FALSE,80,7,0.107,0.431,0.128,-0.14371,0.35821,Easy
Reduced Tillage,Crop Yield,Sorghum,FALSE,141,16,-0.04,0.698,0.101,-0.23703,0.15762,Easy
Mulch (Herb),Crop Yield,Soybean,FALSE,15,4,0.075,0.523,0.104,-0.12911,0.27922,Easy
Reduced Tillage,Water Use Efficiency,Soybean,FALSE,27,4,0.142,0.455,0.166,-0.18317,0.46679,Easy
Organic Fertilizer,Crop Yield,Cassava,FALSE,35,6,0.327,0.001,0.055,0.21836,0.43577,Easy
Organic Fertilizer,Gross Return,Maize,FALSE,32,6,0.351,0,0.015,0.32066,0.38223,Easy
Mulch (Herb),Crop Yield,Yam,FALSE,7,4,0.326,0.093,0.163,-0.07305,0.72537,Easy
Crop Residue,Crop Yield,Maize,FALSE,40,7,0.198,0.088,0.104,-0.00465,0.40146,Easy
Inorganic Fertilizer,Benefit Cost Ratio (GRTC),Maize,FALSE,35,6,0.006,0.964,0.131,-0.25046,0.26275,Easy
Water Harvesting,Crop Yield,Cowpea,FALSE,48,8,0.128,0.09,0.063,0.00433,0.25128,Easy
Water Harvesting,Gross Return,Maize,FALSE,7,4,0.565,0.009,0.149,0.20114,0.9295,Easy
Organic Fertilizer,Crop Yield,Potato,FALSE,50,4,0.265,0,0.053,0.16127,0.36932,Easy
Inorganic Fertilizer,Crop Yield,Potato,FALSE,59,5,0.095,0.001,0.027,0.04134,0.14845,Easy
Improved Varieties,Gross Return,Maize,FALSE,19,4,0.051,0.664,0.106,-0.15803,0.25925,Easy
Inorganic Fertilizer,Water Use Efficiency,Chickpea,FALSE,30,4,0.209,0.161,0.029,0.15158,0.26604,Easy
Reduced Tillage,Water Use Efficiency,Cowpea,FALSE,38,4,-0.012,0.95,0.174,-0.35347,0.3295,Easy
Inorganic Fertilizer,Crop Yield,Sweet Potato,FALSE,70,4,0.317,0.001,0.052,0.21486,0.41823,Easy
Organic Fertilizer,Crop Yield,Sorghum,FALSE,212,21,0.417,0,0.06,0.29864,0.53454,Easy
Mulch (Herb),Crop Yield,Groundnut,FALSE,33,4,0.025,0.728,0.063,-0.09908,0.14814,Easy
Inorganic Fertilizer,Crop Yield,Tomato,FALSE,25,6,0.909,0.003,0.173,0.56922,1.2493,Easy
Reduced Tillage,Crop Yield,Rice,FALSE,29,7,-0.143,0.052,0.059,-0.2582,-0.0281,Easy
Inorganic Fertilizer,Crop Yield,Fodder Legume,FALSE,29,4,0.526,0.1,0.217,0.10136,0.95115,Easy
Improved Varieties,Crop Yield,Common Bean,FALSE,96,4,0.383,0.143,0.22,-0.04919,0.81466,Easy
Reduced Tillage,Gross Return,Maize,FALSE,11,5,0.13,0.001,0.03,0.06345,0.19743,Easy
Mulch (Tree),Crop Yield,Sorghum,FALSE,75,7,0.373,0.041,0.095,0.18803,0.55875,Easy
Mulch (Tree),Water Use Efficiency,Maize,FALSE,88,7,0.313,0.251,0.241,-0.15919,0.78483,Easy
Organic Fertilizer,Crop Yield,Soybean,FALSE,63,7,0.556,0,0.082,0.39525,0.71727,Easy
Organic Fertilizer,Crop Yield,Cowpea,FALSE,43,5,0.441,0.006,0.097,0.24977,0.63137,Easy
Improved Varieties,Crop Yield,Rice,FALSE,264,8,0.204,0.14,0.124,-0.04014,0.44783,Easy
Organic Fertilizer,Water Use Efficiency,Maize,FALSE,185,9,0.579,0.002,0.138,0.30838,0.84902,Easy
Improved Varieties,Crop Yield,Sorghum,FALSE,77,5,0.141,0.173,0.086,-0.02784,0.31055,Easy
Reduced Tillage,Crop Yield,Cotton,FALSE,37,4,-0.097,0.362,0.091,-0.27507,0.08098,Easy
Alleycropping,Crop Yield,Sesame,FALSE,8,4,0.041,0.697,0.102,-0.15837,0.24119,Easy
Alleycropping,Crop Yield,Common Bean,FALSE,50,5,0.041,0.864,0.225,-0.40059,0.48292,Easy
Organic Fertilizer,Crop Yield,Wheat,FALSE,6,4,0.676,0.01,0.166,0.24873,1.10335,Easy
Crop Rotation,Crop Yield,Pearl Millet,FALSE,79,5,0.25,0.025,0.067,0.11908,0.38179,Easy
Crop Rotation,Crop Yield,Cowpea,FALSE,35,4,0.151,0.25,0.104,-0.05165,0.35442,Easy
Intercropping,Crop Yield,Pearl Millet,FALSE,96,6,-0.184,0.054,0.074,-0.32793,-0.03928,Easy
Intercropping,Crop Yield,Sorghum,FALSE,94,8,-0.006,0.933,0.071,-0.14504,0.13277,Easy
Mulch (Tree),Crop Yield,Cowpea,FALSE,29,5,0.335,0.197,0.202,-0.06182,0.73087,Easy
Intercropping,Crop Yield,Cowpea,FALSE,158,25,-0.443,0,0.084,-0.6074,-0.27786,Easy
Intercropping,Crop Yield,Maize,FALSE,864,70,-0.066,0.004,0.022,-0.10918,-0.02212,Easy
Intercropping,Crop Yield,Cassava,FALSE,121,16,-0.184,0.121,0.11,-0.40076,0.03202,Easy
Intercropping,Crop Yield,Pigeon Pea,FALSE,45,4,-0.436,0.254,0.31,-1.0427,0.17097,Easy
Green Manure,Crop Yield,Maize,FALSE,355,31,0.076,0.19,0.057,-0.03559,0.18727,Easy
Green Manure,Crop Yield,Sorghum,FALSE,49,4,0.498,0.021,0.159,0.18648,0.80863,Easy
Intercropping,Gross Return,Common Bean-Maize,FALSE,35,4,0.467,0.001,0.097,0.27758,0.65621,Easy
Crop Rotation,Crop Yield,Sorghum,FALSE,48,5,0.455,0.013,0.13,0.20039,0.71035,Easy
Crop Rotation,Crop Yield,Maize,FALSE,575,42,0.333,0,0.034,0.26748,0.39901,Easy
Intercropping,Crop Yield,Soybean,FALSE,68,9,-0.568,0,0.091,-0.74693,-0.38891,Easy
Intercropping,Gross Return,Maize,FALSE,26,5,0.013,0.893,0.088,-0.16023,0.18553,Easy
Crop Rotation,Gross Return,Maize,FALSE,67,6,0.441,0.128,0.249,-0.04748,0.9304,Easy
Intercropping,Crop Yield,Okra,FALSE,39,5,-0.176,0.403,0.18,-0.52952,0.17769,Easy
Intercropping,Crop Yield,Common Bean,FALSE,31,5,-0.722,0.06,0.277,-1.26399,-0.17979,Easy
Intercropping,Water Use Efficiency,Maize,FALSE,110,14,0.037,0.55,0.06,-0.08121,0.15513,Easy
Intercropping,Water Use Efficiency,Cowpea,FALSE,38,9,-0.436,0.013,0.135,-0.70069,-0.17208,Easy
Green Manure,Gross Return,Maize,FALSE,36,6,0.351,0.073,0.155,0.04826,0.65429,Easy
Improved Varieties,Crop Yield,Soybean,FALSE,43,4,0.118,0.364,0.116,-0.10884,0.34417,Easy
Crop Rotation,Water Use Efficiency,Maize,FALSE,48,6,0.199,0.122,0.108,-0.01158,0.41019,Easy
Intercropping,Crop Yield,Cotton,FALSE,17,4,-0.3,0.211,0.187,-0.66668,0.066,Easy
Crop Rotation,Crop Yield,Soybean,FALSE,9,4,0.102,0.018,0.035,0.02251,0.18176,Easy
Water Harvesting,Crop Yield,Wheat,FALSE,25,4,0.251,0.088,0.101,0.05339,0.44912,Easy
Inorganic Fertilizer,Crop Yield,Barley,FALSE,41,5,0.404,0.037,0.132,0.14482,0.66287,Easy
Improved Varieties,Crop Yield,Fava Bean,FALSE,161,4,0.279,0.357,0.274,-0.25781,0.81551,Easy
Intercropping,Crop Yield,Groundnut,FALSE,26,4,-0.559,0.062,0.191,-0.93264,-0.18521,Easy
Inorganic Fertilizer,Water Use Efficiency,Rice,FALSE,247,5,0.429,0.049,0.154,0.12708,0.73015,Easy
Reduced Tillage,Soil Organic Carbon,Wheat,FALSE,26,6,0.182,0.124,0.084,0.01634,0.34758,Easy
Inorganic Fertilizer,Soil Organic Carbon,Pearl Millet,FALSE,36,5,0.074,0,0.019,0.03555,0.11176,Easy
Mulch (Herb),Soil Organic Carbon,Pearl Millet,FALSE,44,4,0.043,0.167,0.031,-0.0188,0.10562,Easy
Inorganic Fertilizer,Soil Organic Carbon,Maize,FALSE,227,21,0.121,0.004,0.037,0.04984,0.19305,Easy
Mulch (Tree),Soil Organic Carbon,Maize,FALSE,85,6,0.323,0.005,0.064,0.19688,0.44949,Easy
Organic Fertilizer,Soil Organic Carbon,Maize,FALSE,42,8,0.258,0.005,0.054,0.15213,0.36362,Easy
Crop Residue Incorporation,Soil Organic Carbon,Maize,FALSE,35,5,0.167,0.093,0.083,0.00413,0.32895,Easy
Reduced Tillage,Soil Organic Carbon,Maize,FALSE,123,11,0.151,0.003,0.033,0.08514,0.21624,Easy
Mulch (Herb),Soil Organic Carbon,Maize,FALSE,49,4,0.163,0,0.035,0.09349,0.23348,Easy
Organic Fertilizer,Soil Organic Carbon,Sorghum,FALSE,15,4,0.549,0,0.028,0.49457,0.6038,Easy
Water Harvesting,Soil Organic Carbon,Maize,FALSE,24,5,0.174,0,0.039,0.0924,0.25459,Easy
Intercropping,Soil Organic Carbon,Maize-Pigeon Pea,FALSE,9,4,0.08,0.407,0.084,-0.08324,0.2441,Easy
Inorganic Fertilizer,Water Use Efficiency,Wheat,FALSE,23,5,0.129,0.138,0.074,-0.01597,0.27408,Easy
Inorganic Fertilizer,Crop Yield,Pearl Millet,TRUE,502,26,0.652,0,0.102,0.45275,0.85162,Easy
Inorganic Fertilizer,Crop Yield,Groundnut,TRUE,77,12,0.298,0.045,0.126,0.05097,0.54415,Easy
Inorganic Fertilizer,Crop Yield,Maize,TRUE,3546,186,0.764,0,0.036,0.69266,0.83556,Easy
Inorganic Fertilizer,Water Use Efficiency,Maize,TRUE,524,18,0.806,0,0.102,0.60589,1.00546,Easy
Inorganic Fertilizer,Water Use Efficiency,Pearl Millet,TRUE,66,5,1.065,0.02,0.15,0.77053,1.35885,Easy
Inorganic Fertilizer,Crop Yield,Teff,TRUE,22,5,0.844,0,0.081,0.68481,1.00285,Easy
Inorganic Fertilizer,Crop Yield,Sorghum,TRUE,368,28,0.669,0,0.093,0.48625,0.85179,Easy
Inorganic Fertilizer,Gross Return,Maize,TRUE,94,14,0.727,0,0.159,0.41449,1.03893,Easy
Inorganic Fertilizer,Crop Yield,Rice,TRUE,264,22,0.505,0,0.087,0.33489,0.67551,Easy
Inorganic Fertilizer,Crop Yield,Yam,TRUE,40,4,0.158,0.002,0.047,0.06649,0.25043,Easy
Inorganic Fertilizer,Crop Yield,Cassava,TRUE,178,16,0.296,0.007,0.097,0.10572,0.48651,Easy
Inorganic Fertilizer,Crop Yield,Cowpea,TRUE,300,20,0.409,0.093,0.23,-0.04089,0.85981,Easy
Inorganic Fertilizer,Crop Yield,Potato,TRUE,86,4,0.474,0.014,0.184,0.11388,0.83453,Easy
Inorganic Fertilizer,Crop Yield,Sweet Potato,TRUE,43,4,0.721,0.001,0.1,0.5251,0.91776,Easy
Inorganic Fertilizer,Benefit Cost Ratio (GRTC),Maize,TRUE,25,4,-0.339,0.174,0.198,-0.72587,0.04855,Easy
Inorganic Fertilizer,Crop Yield,Common Bean,TRUE,137,14,0.785,0.002,0.211,0.37043,1.19893,Easy
Inorganic Fertilizer,Crop Yield,Wheat,TRUE,115,9,0.561,0.005,0.14,0.28758,0.83538,Easy
Inorganic Fertilizer,Crop Yield,Soybean,TRUE,149,15,0.545,0,0.131,0.28726,0.80255,Easy
Inorganic Fertilizer,Water Use Efficiency,Sorghum,TRUE,46,5,0.688,0.04,0.25,0.19868,1.17803,Easy
Inorganic Fertilizer,Crop Yield,Cotton,TRUE,32,4,0.399,0.116,0.182,0.04226,0.75553,Easy
Inorganic Fertilizer,Gross Return,Cowpea-Maize,TRUE,33,4,0.448,0.151,0.235,-0.01274,0.90964,Easy
Inorganic Fertilizer,Soil Organic Carbon,Pearl Millet,TRUE,87,4,0.137,0,0.03,0.0783,0.1964,Easy
Inorganic Fertilizer,Soil Organic Carbon,Maize,TRUE,221,20,0.366,0.004,0.106,0.15826,0.57384,Easy
Inorganic Fertilizer,Soil Organic Carbon,Cowpea-Maize,TRUE,27,4,0.202,0.31,0.15,-0.09215,0.49713,Easy
Crop Residue,Crop Yield,Pearl Millet,TRUE,134,7,0.619,0.03,0.231,0.16617,1.07178,Easy
Crop Residue,Crop Yield,Maize,TRUE,705,59,0.461,0,0.057,0.34843,0.57294,Easy
Crop Residue,Crop Yield,Sorghum,TRUE,83,7,0.318,0.004,0.055,0.21037,0.42592,Easy
Crop Residue,Crop Yield,Cassava,TRUE,114,6,0.132,0.409,0.147,-0.15599,0.42001,Easy
Crop Residue,Crop Yield,Rice,TRUE,56,6,0.539,0.038,0.191,0.16476,0.91271,Easy
Crop Residue,Gross Return,Maize,TRUE,27,4,0.576,0.477,0.736,-0.86601,2.01724,Easy
Crop Residue,Crop Yield,Soybean,TRUE,28,5,-0.056,0.698,0.137,-0.32497,0.21203,Easy
Crop Residue,Crop Yield,Common Bean,TRUE,38,6,0.162,0.136,0.076,0.01271,0.31199,Easy
Crop Residue,Soil Organic Carbon,Maize,TRUE,36,7,0.105,0.152,0.067,-0.02519,0.23552,Easy
Crop Residue,Water Use Efficiency,Maize,TRUE,116,7,0.431,0.007,0.124,0.18804,0.67441,Easy
Crop Residue Incorporation,Crop Yield,Maize,TRUE,564,48,0.503,0,0.067,0.37107,0.63413,Easy
Crop Residue Incorporation,Crop Yield,Sorghum,TRUE,81,6,0.359,0,0.035,0.29059,0.42766,Easy
Crop Residue Incorporation,Crop Yield,Cassava,TRUE,114,6,0.132,0.409,0.147,-0.15599,0.42001,Easy
Crop Residue Incorporation,Crop Yield,Rice,TRUE,53,5,0.684,0.004,0.09,0.50799,0.86057,Easy
Crop Residue Incorporation,Crop Yield,Common Bean,TRUE,16,4,0.033,0.628,0.067,-0.09755,0.16352,Easy
Crop Residue Incorporation,Soil Organic Carbon,Maize,TRUE,36,7,0.105,0.152,0.067,-0.02519,0.23552,Easy
Crop Residue Incorporation,Water Use Efficiency,Maize,TRUE,88,5,0.501,0.063,0.196,0.11649,0.88539,Easy
Mulch (Herb),Crop Yield,Wheat,TRUE,59,8,0.19,0.157,0.117,-0.04035,0.41989,Easy
